# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
10504776 35.19414 35.18070 34.72275   -7.94    3.98   71.31  179.66  177.99 1.5155e+12 1.669e+12 299.31690 47.87222 0.81410 3.787e+10 3.787e+10  5079292       -1       -1
10509045 35.22839 35.24183 35.69978   31.10   11.66   -9.22  167.48  150.59 1.1986e+12 1.2531e+12 276.79155 44.94430 0.85390 3.1533e+10 3.1533e+10  4504394       -1       -1
10498905 35.16186 35.04675 34.66812  -28.03 -165.91  -91.50   10.37   10.93 1.8718e+08 3.1183e+08 14.90704 4.26584 0.89380  3925.4 1.343e+05     1255 10504776 10504776
10498928 35.08477 34.92010 34.40881  -69.67   -5.37  105.20    9.09    9.64 7.1873e+07 1.1348e+08 10.83380 1.26129 0.69460  563.63   32226      799 10498934 10498934
10498934 35.10094 34.92138 34.40095 -107.91  -40.89   40.23   24.40   25.18 1.9268e+09 2.2873e+09 32.42676 4.26388 0.74770 1.8007e+05 2.2369e+06    13182       -1       -1
10498938 35.13021 34.89790 34.39584 -104.98  -37.12   63.47   18.51   19.57 7.8056e+08 1.0545e+09 23.99155 2.95347 0.73440   40720 7.5004e+05     5205       -1       -1
10498939 35.04266 35.03423 34.43668 -117.59  -16.33   77.78    9.77    9.53 7.0915e+07 1.0042e+08 10.78592 1.28680 0.68130  445.73   27118      498       -1       -1
10498940 35.05192 34.94479 34.47329  -34.37  -59.11   57.17   12.09   13.89 9.9296e+07 1.9352e+08 12.06620 1.05099 0.31610  1570.6   68473      792       -1       -1
10498953 35.21107 34.91242 34.72243   95.05 -105.87  179.05   11.71   11.64 1.8042e+08 2.207e+08 14.72394 2.04172 0.81410  2021.5   82436     1670 10504776 10504776
10498954 35.20865 35.28907 34.57222  -73.41  -70.72  -76.18    8.21    9.13 1.9859e+07 3.9338e+07 7.05634 0.54293 0.22640  73.722  7220.1      350 10504776 10504776
10498956 35.14359 35.25797 34.58626  -74.88  -79.64  -68.31   11.81   12.18 1.1272e+08 1.8338e+08 12.58732 1.56875 0.36590  1416.4   63462     2006 10504776 10504776
10498957 35.10589 35.22423 34.50785  -66.13  -48.56  -35.47    9.77   10.70 4.7662e+07 1.4197e+08 9.44789 0.77604 0.36590  866.54   44215      695 10504776 10504776
10498967 35.15061 35.20759 34.49249  -55.54 -101.44   -3.79   14.35   14.82 1.7535e+08 3.9465e+08 14.58310 1.03508 0.39240  6169.9 1.8728e+05     2745 10504776 10504776
10498977 35.12904 34.97569 34.65137   40.88 -117.49  233.12    9.55    9.44 1.0913e+08 1.2237e+08 12.45211 1.63959 0.84060  651.43   35846      844 10504776 10504776
10498997 35.14701 34.69313 34.72792  -76.66  -19.95   33.55   13.52   13.89 1.9127e+08 3.3423e+08 15.01127 1.57620 0.52190  4484.5 1.4811e+05     1365       -1       -1
10499003 35.14407 35.01852 34.52891 -106.45  101.59  -68.11    8.18    7.85 5.6732e+07 6.1282e+07 10.01268 1.16824 0.76100  172.68   13501      651 10504776 10504776
10499005 35.18330 34.96734 34.63184  -76.89   94.51 -103.10    9.66    9.88 6.0338e+07 6.2789e+07 10.21972 1.22937 0.76100  180.92   13973      488 10504776 10504776
10499011 35.06063 34.87414 34.57760  -93.92   43.43   -5.40   10.17   10.53 4.8423e+07 6.2225e+07 9.49718 0.66823 0.32930  177.82   13796      321       -1       -1
10499019 35.18406 34.94073 34.38991   21.77   51.08   19.63    9.48    9.94 7.8113e+07 1.392e+08 11.13803 1.33919 0.72110  834.31   43000      914       -1       -1
10499055 35.05946 34.89710 34.60258  -44.97   51.17   87.83   10.95   11.36 6.9972e+07 1.2746e+08 10.73803 0.84124 0.48540  704.54   37973      618       -1       -1
10499091 35.40497 34.93163 34.52544  -63.24 -123.13    5.66   12.28   14.06 1.7972e+08 2.5e+08 14.70282 1.35410 0.43230    2568   98298     2319       -1       -1
10499095 35.45615 34.92435 34.54320   -1.75 -123.45   -0.24   11.06   11.20 1.2161e+08 1.5662e+08 12.90986 1.38938 0.76100  1046.3   50791     1177       -1       -1
