# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
14342672 34.86625 35.36032 35.31619  179.39 -152.16   62.87  198.95  198.95 2.5493e+12 2.5493e+12 355.97042 138.04301 1.00000 5.2228e+10 5.2228e+10  8143695       -1       -1
14347622 35.55629 35.06221 35.10635   71.05  -83.27  136.98  168.98  168.98 1.34e+12 1.34e+12 287.27324 66.04305 1.00000 3.4524e+10 3.4524e+10  4941629       -1       -1
14336445 34.68637 35.35861 35.12146   38.19 -104.49 -117.87   10.74   12.69 1.8394e+08 3.0831e+08 14.82113 1.58801 0.89380  3840.7 1.3216e+05     1968 14342672 14342672
14336457 34.65270 35.36406 35.14006  146.40 -144.37   40.42    9.18    9.85 2.1746e+07 5.4662e+07 7.27324 0.59905 0.26290  138.65   11489      173 14342672 14342672
14336475 34.90026 35.39615 35.23363   63.60 -176.64 -229.12    9.47   10.70 4.9169e+07 1.2349e+08 9.54648 1.09773 0.43230     663   36313      395 14342672 14342672
14336477 34.99323 35.24868 35.25150  127.02 -139.55 -183.06    8.62    9.27 4.1423e+07 7.5085e+07 9.01549 0.99559 0.43230  255.04   17986      260 14342672 14342672
14336483 34.81836 35.38372 35.14475  -73.81 -310.83  -17.55    8.84    8.85 6.4113e+07 6.9225e+07 10.42958 1.39617 0.88050  218.21   16037      645 14345022 14342672
14336497 34.77719 35.34503 35.29129    1.79 -439.26   56.29    8.31    9.99 1.0969e+07 3.3859e+07 5.79014 0.36552 0.13680  55.276  5842.1       70 14342672 14342672
14336499 34.84726 35.29200 35.29216  180.76 -471.31    7.34    8.36   10.34 1.7972e+07 5.9577e+07 6.82535 0.73272 0.32930  163.57   12974      118 14339438 14342672
14336522 34.74160 35.22820 35.19527  147.27 -320.98  -86.70    8.83   13.94 1.8718e+07 1.0194e+08 6.91972 0.64622 0.26290  458.79   27699      118 14342672 14342672
14336528 34.88747 35.19701 35.24022  103.68 -163.52  -57.38    8.16    8.90 1.6451e+07 3.8197e+07 6.62817 0.46434 0.41900  69.672  6926.2      103 14339853 14342672
