# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
18582282 34.89483 35.25759 34.94737  141.92 -169.69   49.05  168.92  167.49 1.1935e+12 1.2028e+12 276.40282 65.94539 0.98670 3.142e+10 3.142e+10  4980823       -1       -1
18593176 35.52770 35.16494 35.47517   64.81  -98.10  -48.17  224.82  224.82 2.8423e+12 2.8423e+12 369.10141 92.80858 1.00000 5.5236e+10 5.5236e+10  9731546       -1       -1
18578629 34.77438 35.06866 34.79235  103.30 -135.96   -2.52    8.07    7.85 1.7775e+07 3.4606e+07 6.80000 0.54998 0.36590  57.639  6024.8      143 18582282 18582282
18578640 34.73654 35.21846 34.85492  165.04 -227.00  -67.73    9.83   11.19 1.4366e+07 6.0704e+07 6.33521 0.33668 0.17660  169.57   13322      178 18582282 18582282
18578642 34.73069 35.14968 34.86597  209.76 -180.13  -23.03    9.64   11.37 3.3662e+07 1.0363e+08 8.41408 0.80498 0.28950   473.5   28350      281 18582282 18582282
18578656 34.75311 35.13669 34.76499  174.04 -202.18   99.41   12.69   14.07 7.9803e+07 2.4535e+08 11.21831 0.89884 0.37920  2477.2   95727      543 18582282 18582282
18578663 34.56214 35.27406 34.64252  120.73 -147.93   47.93    9.66   10.38 3.007e+07 7.0549e+07 8.10282 0.62734 0.28950  226.29   16472      185       -1       -1
18578666 34.72873 35.17711 34.64275   41.60 -100.19    9.18   12.02   12.45 1.3258e+08 1.4606e+08 13.28732 0.84501 0.73440  915.03   46022      798       -1       -1
18578674 34.64456 35.15415 34.66965  163.87    6.85   43.04   16.08   15.75 8.0676e+08 8.1099e+08 24.25775 3.12598 0.96020   24350 5.1393e+05     4752       -1       -1
18578676 34.65511 35.25166 34.79155   42.83 -124.88  -35.31   14.13   18.01 1.8535e+08 4.2521e+08 14.85634 1.57602 0.33930    7120 2.0808e+05     1604       -1       -1
18578678 34.74113 35.16980 34.71311   65.07  -56.59   71.45    9.10    9.64 6.1085e+07 7.8296e+07 10.26197 1.32666 0.32930  171.61   13440      388       -1       -1
18578687 34.88507 35.07768 34.76468   50.12 -142.27   44.09    9.24   10.07 4.6521e+07 7.8113e+07 9.37183 0.80115 0.33930  275.16   19019      625 18582282 18582282
18578693 34.75583 35.13069 34.73451  121.50  -91.96  176.84    8.61   12.39 2.7803e+07 7.2817e+07 7.89437 0.93276 0.16330  240.46   17224      159       -1       -1
18578695 34.76621 35.16880 34.81152  121.32   -6.14  164.96    8.32    7.65 3.4423e+07 3.5183e+07 8.47606 0.61181 0.92030    59.5  6167.3      214 18582282 18582282
18578717 34.64028 35.22027 34.87018   24.68 -265.31   17.08    9.68   13.03 7.5648e+07 2.338e+08 11.01972 1.83337 0.41900  2258.1   89427      771 18582282 18582282
18578722 34.70966 35.12197 34.84015   17.12 -242.22  -32.53    8.34    8.97 1.9296e+07 4.0282e+07 6.98873 0.59702 0.88050  77.155  7465.9      249 18582282 18582282
18578724 34.78320 35.15532 34.85644   97.76 -199.03  -48.09    8.70   15.18 2.7803e+07 2.1958e+08 7.89437 0.80532 0.28950  2001.7   81842      363 18582282 18582282
18578736 34.69965 35.02114 34.79106   95.44 -217.39   73.96    9.36   11.83 6.2028e+07 1.469e+08 10.31549 1.33626 0.40570  925.23   46398      554       -1       -1
18578758 34.74245 35.19197 34.87925   81.85 -282.18  215.30    8.06    8.37 7.7535e+06 9.0775e+06 5.15775 0.35090 0.93360  4.4142  910.58       44 18578759 18582282
18578759 34.73546 35.18727 34.87883   94.22 -303.56  197.51   31.02   31.22 3.3507e+09 3.5732e+09 38.99437 3.82423 0.56180 4.24e+05 4.1962e+06    20866 18582282 18582282
18578764 34.71969 35.21477 34.83768   72.45 -283.70  199.89   12.83   13.28 1.7803e+08 2.5592e+08 14.65634 1.95349 0.49870    2686 1.016e+05     1028 18582282 18582282
18578769 34.67051 35.08537 35.10072   56.83 -307.81  118.18   11.80   13.06 2.2775e+08 2.9127e+08 15.91127 1.44329 0.84060  3443.5 1.2196e+05     1946       -1       -1
