# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
13133610 34.85361 35.38127 35.46010  -90.08  -58.43  -89.48  197.06  197.06 1.9014e+12 1.9014e+12 322.83662 57.32797 1.00000 4.4112e+10 4.4112e+10  6294169       -1       -1
13136157 35.56893 35.04127 34.96244 -162.75  -38.44  -44.49  176.95  176.95 1.2448e+12 1.2448e+12 280.29859 39.94770 1.00000 3.2542e+10 3.2542e+10  3562288       -1       -1
13127760 34.69701 35.16862 35.26890 -126.02  -34.06  -92.54    8.93    9.63 3.1577e+07 6.2986e+07 8.23662 0.68345 0.27620  182.01   14035      265       -1       -1
13127777 34.70035 35.24665 35.32548 -252.42   65.68 -198.47    8.45    8.56 6.4676e+07 6.9972e+07 10.45915 1.12896 0.89380  222.75   16282      538 13133610 13133610
13127778 34.62086 35.31106 35.28041 -222.35   74.65 -159.95    8.10    8.07 3.5549e+07 9.0211e+07 8.56901 0.70719 0.64140  362.79   23307      424 13133610 13133610
13127807 35.01949 35.15396 35.10290 -189.09  -92.70 -157.48   13.07   13.11 1.7268e+08 1.9972e+08 14.50986 1.45253 0.61490    1262   58295     1712       -1       -1
13127813 34.86069 35.31125 35.42814 -368.90 -132.12 -198.71    9.01   10.23 3.3099e+07 9.2099e+07 8.36620 1.15126 0.39240  377.51   23999      228 13133610 13133610
13127849 35.16627 35.19080 35.39600 -284.37  -80.09 -198.55   12.13   12.13 1.7592e+08 1.7592e+08 14.60000 1.29379 1.00000  1307.8   59845     1016       -1       -1
13127861 34.92437 35.12337 35.25661 -143.89 -138.37  -96.67   10.35   13.53 5.2761e+07 1.6662e+08 9.77324 1.04739 0.25000  1178.3   55429      479       -1       -1
13127883 35.02955 34.97013 35.10925 -185.64  -82.44 -101.99    9.51   11.37 3.1577e+07 7.0169e+07 8.23662 0.95377 0.18990  48.346  5294.1      210       -1       -1
13127888 35.06406 34.95073 35.08597 -174.20  -87.38 -101.26   18.85   21.60 8.2e+08 1.121e+09 24.39014 2.93421 0.33930   25123 5.2588e+05     8879       -1       -1
13127909 34.72545 35.05617 35.16328 -183.17   -7.41  -72.48   10.78   10.47 1.061e+08 1.1783e+08 12.33521 1.24673 0.43230  495.36   29307     1182       -1       -1
13127912 34.72469 34.99482 35.31810 -153.97   12.95  -21.00    9.99   10.68 9.4944e+07 1.1215e+08 11.88732 1.11708 0.81410  400.21   25052      789       -1       -1
13127916 34.72321 35.06677 35.25692 -154.69    9.43  -27.99   15.03   14.89 3.6746e+08 3.9521e+08 18.66338 2.65960 0.88050  5379.9 1.6933e+05    10778       -1       -1
13127936 34.56377 35.03842 35.45196 -146.02   23.76  -67.74    8.36    8.54 4.0282e+07 4.7282e+07 8.93239 0.86110 0.40570  104.95  9361.3      810       -1       -1
13127952 34.53180 35.14721 35.44265 -156.57    4.41  -50.38    8.12    7.88 4.4254e+07 5.9761e+07 9.21690 0.61614 0.41900  164.54   13031     1617       -1       -1
13127965 34.58700 35.08810 35.35989  -75.68    7.00  -58.83   11.37   11.23 6.6e+07 1.1366e+08 10.53099 0.84264 0.50860  565.38   32299     1008       -1       -1
13127979 34.96397 35.18793 35.24449 -209.22   39.98 -121.56    9.12   10.44 6.1465e+07 1.182e+08 10.28310 1.15335 0.48540  609.49   34134      884 13133610 13133610
13128011 34.95220 35.04559 35.09775 -145.45  -11.56  -36.14    8.41    8.10 3.2535e+07 3.9155e+07 8.31831 0.86195 0.47210  73.065  7172.7      802       -1       -1
13128054 34.68835 35.28985 35.14520 -137.41    8.43   14.62    8.68    8.20 4.1042e+07 4.7662e+07 8.98732 0.71196 0.40570  79.976  7665.7      495       -1       -1
13128061 34.73168 35.09638 35.28379 -142.54   44.37  -15.24   16.07   16.03 4.4577e+08 5.907e+08 19.90563 2.93895 0.84060  7795.8 2.2242e+05     8991       -1       -1
13128073 34.96770 35.16745 35.30924 -208.33   55.50 -152.16   14.15   14.21 2.9845e+08 6.0296e+08 17.41268 1.40930 0.49870   13922 3.407e+05     5797 13133610 13133610
13128087 34.89814 35.24099 35.24835 -204.83   74.12  -93.36   11.35   12.39 1.2766e+08 2.7901e+08 13.11972 1.06045 0.57500  3170.7 1.1478e+05     1853 13133610 13133610
13128089 34.85418 35.28227 35.28542 -208.36  114.75  -91.50   10.36   10.45 6.6761e+07 1.3844e+08 10.57042 0.86345 0.54850  825.58   42669     1161 13133610 13133610
13128095 34.94238 35.15439 35.28892 -136.36  116.91 -116.17   11.10   12.09 1.0648e+08 1.6901e+08 12.35070 1.53934 0.50860  1211.1   56557     1147 13133610 13133610
13128100 34.82992 35.10304 35.45834 -107.97   95.80 -162.19   13.17   14.41 1.631e+08 2.7197e+08 14.23521 1.20475 0.50860  3018.9 1.1071e+05     3106 13133610 13133610
13128116 34.73639 35.19732 35.32118 -140.03   87.51    5.14    8.27    8.16 2.5915e+07 3.4423e+07 7.70986 0.77364 0.47210  57.055  5979.9      194 13133610 13133610
13128122 34.92807 35.24506 35.25313 -193.85   62.71    3.60   12.74   13.58 1.4239e+08 2.2239e+08 13.60704 1.06759 0.43230  2051.3   83329     2170 13133610 13133610
13128123 34.90080 35.28597 35.23273 -194.33   65.51    1.23   11.32   12.07 1.0042e+08 1.6113e+08 12.11127 1.25063 0.45880  1104.9   52867     1444 13133610 13133610
13128125 34.77513 35.29401 35.27946 -151.07   61.49   65.18   16.81   16.92 3.6183e+08 4.5845e+08 18.56761 1.97111 0.45880  8226.9 2.3141e+05     4152 13133610 13133610
13128128 34.84265 35.37320 35.34718 -243.52  149.99  -20.78   18.99   24.25 3.193e+08 1.2675e+09 17.80845 1.47989 0.35260   57968 9.724e+05     3477 13133610 13133610
13128131 34.75118 35.18262 35.33604 -131.81   88.39    3.77    8.90   10.81 4.9366e+07 1.569e+08 9.55915 0.81166 0.40570  1049.9   50920     1257 13133610 13133610
13128146 35.21800 35.00217 35.12599 -143.18  -31.61 -141.90   13.00   13.96 2.162e+08 3.3887e+08 15.63803 2.02528 0.53520    4605 1.5103e+05     3755       -1       -1
13128154 35.10821 35.10649 35.21808 -184.34    6.94 -145.81   11.75   12.85 1.3769e+08 2.3521e+08 13.45493 1.36192 0.35260  2284.3   90189     3025 13136260 13136260
13128164 35.06113 35.06472 35.30462 -169.93   19.55 -160.43    8.75    8.81 4.0845e+07 5.9197e+07 8.97465 1.06341 0.48540  161.58   12858      738       -1       -1
13128184 35.40887 35.02162 35.06908  -87.74   -2.90 -208.13    9.15   11.00 9.1352e+07 1.4676e+08 11.73521 1.92531 0.47210  923.52   46336     1342 13136157 13136157
13128195 35.41244 34.96601 35.04676  -86.84   -5.29 -206.06    9.75    9.88 5.8817e+07 9.0972e+07 10.13380 0.55630 0.47210  368.69   23585     1270 13136157 13136157
13128210 35.19037 35.01204 35.09535 -135.80  -11.62 -125.77   11.06   11.54 9.3042e+07 1.2634e+08 11.80704 1.01664 0.49870  692.63   37500      956       -1       -1
13128223 35.21089 35.08204 35.10259 -128.34   20.43 -130.11   13.11   14.49 1.7014e+08 2.4338e+08 14.44085 1.22179 0.48540  2439.1   94643     2982       -1       -1
13128226 35.07951 35.18127 35.12011 -156.35   34.60  -96.55   18.95   21.28 7.9549e+08 1.3755e+09 24.14366 2.35244 0.48540   67824 1.0914e+06    16222       -1       -1
13128235 34.81707 35.16954 35.08038 -240.54   19.27 -118.24    8.56    8.69 1.1177e+08 1.1234e+08 12.55211 1.83046 0.92030  547.49   31545      669       -1       -1
13128251 34.79386 35.17307 35.18787 -278.21   14.44 -102.40    8.34   11.08 4.9549e+07 1.3996e+08 9.57042 1.61413 0.28950  114.82   10001      269 13128254 13128254
13128252 34.79454 35.19085 35.17366 -285.42  -15.73 -125.74   12.55   13.74 1.1801e+08 2.7437e+08 12.78169 1.06907 0.48540  607.67   34059      636 13128254 13128254
13128254 34.77700 35.18368 35.18013 -280.22    3.49 -114.21   27.54   27.26 5.1366e+09 5.2268e+09 44.96056 6.67062 0.92030 8.5096e+05 6.997e+06    31346       -1       -1
13128255 34.77085 35.18779 35.20518 -272.19   14.37 -132.76   13.75   14.70 2.6394e+08 4.0366e+08 16.71690 2.63018 0.68130  6443.3 1.9335e+05     1534 13128254 13128254
13128261 34.76020 35.21892 35.19099 -255.11   16.45 -109.19    8.91    9.43 4.293e+07 6.9408e+07 9.12394 1.19800 0.39240  219.32   16097      246 13128254 13128254
13128278 34.98215 35.08537 35.13708 -268.76  -34.00 -165.80    8.63    8.64 3.9718e+07 4.0845e+07 8.89014 0.61199 0.54850  75.097  7318.9      293       -1       -1
13128280 34.96203 35.15317 35.11876 -267.41  -22.75 -144.38    8.23    8.25 4.9746e+07 5.3521e+07 9.58310 1.04531 0.69460   115.7   10058      599 13129221 13129221
13128321 34.83252 35.33248 35.41239  -85.92  124.50 -209.76   10.32   20.34 4.331e+07 6.1535e+08 9.15070 1.16017 0.37920   14477 3.5063e+05      286 13133610 13133610
13128331 34.87332 35.07263 35.35101 -164.26  134.77 -163.25   23.66   21.79 2.5437e+09 2.6423e+09 35.56901 4.52186 0.89380 2.208e+05 2.5985e+06    15913       -1       -1
13128332 34.85141 35.17770 35.34393 -149.50  170.42 -154.42    9.67    9.51 1.3958e+08 1.507e+08 13.51690 0.76524 0.70780  971.76   48103     1235 13133610 13133610
13128338 34.82676 35.28266 35.43366 -141.22  191.14 -113.57   13.62   15.74 1.5239e+08 4.169e+08 13.91972 1.30263 0.35260  6855.2 2.0236e+05     1753 13133610 13133610
13128357 34.96052 35.28735 35.38183 -220.22  105.66 -157.50   10.89   12.31 4.0099e+07 1.3579e+08 8.91831 0.80939 0.27620  795.53   41521      223 13133610 13133610
13128377 35.12348 35.10234 35.38952 -189.10   96.98 -179.22   14.49   14.49 3.2366e+08 3.2366e+08 17.88873 1.56156 1.00000  4216.3 1.4155e+05     2013       -1       -1
13128380 34.93779 35.25379 35.39614 -199.40  147.70  -70.98   10.96   17.85 8.6239e+07 4.0944e+08 11.51268 1.42813 0.22640  6621.5 1.9726e+05      474 13133610 13133610
13128393 34.73545 35.53617 35.30169  -90.47 -121.91 -141.19   15.63   16.58 9.7394e+07 2.6465e+08 11.98873 0.93515 0.21310  2864.7 1.0653e+05      573 13133610 13133610
13128411 34.85325 35.36373 35.43662 -123.26  -72.24 -502.34   12.18   15.15 3.707e+07 1.8648e+08 8.68873 0.74076 0.18990  1462.7   64981      241 13133610 13133610
13128412 34.83424 35.37899 35.40717 -245.41  -42.21 -342.99    8.07    8.03 8.8887e+06 2.7986e+07 5.39718 0.31265 0.49870  38.343  4464.2       59 13133610 13133610
13128431 34.94501 35.39825 35.44562 -339.13 -143.99 -160.73   14.96   17.90 1.4282e+08 3.8507e+08 13.61972 1.00686 0.37920  5885.6 1.8089e+05      828 13133610 13133610
13128444 34.79734 35.34610 35.31744 -104.48 -112.02 -128.21    9.82    9.56 2.0042e+07 2.062e+07 7.07887 0.47215 0.96020   21.33  2900.3      185 13133610 13133610
13128467 34.90148 35.33331 35.34227 -241.83 -106.54 -167.89    8.35    7.94 1.5324e+07 4.0282e+07 6.47183 0.50150 0.39240  77.155  7465.9      126 13133610 13133610
13128468 34.94201 35.40687 35.32601 -224.36 -107.68 -118.20    9.00    9.65 2.1183e+07 5.0493e+07 7.20986 0.59202 0.40570  119.06   10271      121 13133610 13133610
13128486 35.15473 35.32839 35.19406 -219.69  -93.45 -136.85   11.81   12.27 1.3031e+08 1.7606e+08 13.20986 0.94477 0.49870  1309.8   59913     1027       -1       -1
13128518 35.02887 35.47487 35.41866  -60.04 -217.00 -122.56    8.22    9.46 2.4014e+07 7.4887e+07 7.51831 0.74686 0.37920  253.76   17920      237 13133610 13133610
