# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
80182724 34.96702 34.95729 35.19913  174.69   23.27    2.34  208.39  208.39 2.3479e+12 2.3479e+12 346.30423 88.29215 1.00000 4.995e+10 4.995e+10  8580901       -1       -1
80183398 35.45551 35.46525 35.22340   29.97   63.34    8.91  178.80  178.80 1.6239e+12 1.6239e+12 306.31549 74.08143 1.00000 3.9764e+10 3.9764e+10  6047617       -1       -1
80303587 35.42008 35.93240 35.05408   48.09  -13.71  -78.12  104.61  104.61 2.6028e+11 2.6028e+11 166.36197 28.49396 1.00000 3.2154e+09 3.443e+09   997083       -1       -1
80308873 36.00254 36.14629 34.75485   51.94  111.60  106.78  108.86  108.86 2.2662e+11 2.2662e+11 158.87042 21.54749 1.00000 2.268e+09 2.5577e+09   989452       -1       -1
80190757 34.41409 34.31975 34.11630   81.08   53.70   43.99   71.54   74.62 1.271e+11 1.2754e+11 131.00986 29.75109 0.96020 4.9507e+08 7.3604e+08   433422       -1       -1
80192690 33.84691 34.84040 34.50968  205.28   -2.32   25.36   95.42   95.42 1.0444e+11 1.0444e+11 122.70845 10.44960 1.00000 3.0561e+08 5.0544e+08   452652       -1       -1
80181168 35.35601 35.04843 35.21923  247.83  -56.72   80.08   93.24   97.64 9.4099e+10 1.1662e+11 118.51690 17.48950 0.66800 3.9908e+08 6.2142e+08   571669       -1       -1
80180171 35.47368 35.25150 35.27832  -43.23   90.85 -162.96   84.40   89.04 7.0394e+10 9.1352e+10 107.58732 13.27363 0.60160 2.2454e+08 3.9989e+08   409237 80183398 80183398
80177891 34.91268 34.93701 35.13847  460.22  109.65  178.54   77.15   73.65 6.2732e+10 7.5704e+10 103.53239 14.15385 0.76100 1.4968e+08 2.9597e+08   389417 80182724 80182724
80304204 35.46122 35.51182 35.22544  -43.83   45.79 -135.07   69.37  102.49 5.2535e+10 1.6746e+11 97.59296 10.62098 0.70780 1.0195e+09 1.316e+09   354214 80183398 80183398
80194102 36.35542 35.27025 35.36101    0.57   68.95    5.49   62.06   62.06 4.662e+10 4.662e+10 93.77887 22.30462 1.00000 5.7644e+07 1.4911e+08   211122       -1       -1
80194168 33.55919 35.14040 34.44730  181.52  -18.83   52.02   61.26   61.26 4.2014e+10 4.2014e+10 90.58451 12.79508 1.00000 4.7304e+07 1.2952e+08   213726       -1       -1
80206686 34.78312 33.48629 34.84387  -14.43   72.33   17.65   52.67   52.67 2.5577e+10 2.5577e+10 76.78028 9.38662 1.00000 1.8425e+07 6.589e+07   128796       -1       -1
80304144 35.56544 35.49619 35.10156  -52.42  141.36  -98.15   64.37   78.31 2.2887e+10 5.5972e+10 73.97887 11.26768 0.37920 8.1848e+07 1.9144e+08   136180 80183398 80183398
80353240 34.56071 36.07636 35.51498  208.13  -71.45    0.15   49.09   49.09 2.2056e+10 2.2056e+10 73.08028 9.14721 1.00000 1.389e+07 5.3726e+07   107338       -1       -1
80312235 35.97013 35.62447 33.75075  170.23  -31.21  -71.02   46.73   46.57 2.0761e+10 2.1197e+10 71.61268 7.98695 0.80080 1.2373e+07 4.9412e+07   110669       -1       -1
80301474 35.00946 35.69254 35.26067   58.42  148.96  -25.14   44.81   43.22 1.8493e+10 2.0493e+10 68.89859 18.84817 0.82740 9.9189e+06 4.2093e+07   114125       -1       -1
80226511 34.38867 34.65081 33.82926  126.04   -6.21   66.00   44.52   44.52 1.7901e+10 1.7901e+10 68.15493 9.63168 1.00000 9.3209e+06 4.0236e+07    89011       -1       -1
80175403 34.79880 34.55137 35.13227  212.03   -0.17  110.47   54.42   56.36 1.6845e+10 2.1859e+10 66.79859 9.19571 0.60160 1.3654e+07 5.3063e+07    96110       -1       -1
80354285 34.14578 36.51689 35.00774  206.94  -72.77   21.13   48.83   48.83 1.6563e+10 1.6563e+10 66.41690 8.26174 1.00000 8.0336e+06 3.6117e+07    83910       -1       -1
80212422 34.00605 34.61916 35.38489  227.24  -49.26  -11.26   41.94   41.94 1.5535e+10 1.5535e+10 65.02113 9.78562 1.00000 7.1062e+06 3.3034e+07    77654       -1       -1
80190703 34.37795 34.29301 34.15918  -14.30   53.94   91.28   45.95   44.97 1.5028e+10 1.7296e+10 64.30563 8.11815 0.92030 6.6687e+06 3.1541e+07    97925 80190757 80190757
80351567 36.22975 35.74126 34.26330   48.95  161.93   93.52   42.63   42.87 1.4915e+10 1.5085e+10 64.14366 8.20645 0.96020 6.5733e+06 3.1212e+07    76089       -1       -1
80353686 33.79506 36.26499 35.44971  107.38  -54.53  150.04   40.77   40.75 1.3634e+10 1.3773e+10 62.24930 5.76814 0.96020 5.5341e+06 2.7535e+07    69393       -1       -1
80212272 33.87627 35.21111 34.80839   59.03  -71.86  204.61   37.30   37.30 1.3414e+10 1.3414e+10 61.91408 11.02315 1.00000 5.3645e+06 2.6917e+07    66839       -1       -1
80094393 35.39081 34.86042 33.37115  124.25  -80.27  -36.44   39.56   40.57 1.1958e+10 1.3099e+10 59.58451 7.49209 0.74770 4.3041e+06 2.2922e+07    64704       -1       -1
80348217 35.98804 36.14946 35.30370   21.30   83.50   18.23   44.99   47.39 1.0734e+10 1.9338e+10 57.48028 7.37291 0.43230 3.4994e+06 1.9707e+07    57434       -1       -1
80354062 34.61489 36.71808 34.85358  198.65  -47.03   50.27   40.07   40.07 1.028e+10 1.028e+10 56.65915 8.19107 1.00000 3.2214e+06 1.855e+07    56666       -1       -1
80208581 34.40339 33.35427 35.98280   96.27    8.43 -258.90   39.66   39.66 1.0277e+10 1.0277e+10 56.65352 6.91016 1.00000 3.2197e+06 1.8543e+07    53890       -1       -1
80181361 34.97489 35.05864 35.51047  -52.69  194.32 -158.29   37.78   37.78 9.9535e+09 9.9535e+09 56.05070 8.40639 1.00000 3.0279e+06 1.7729e+07    57928 80182724 80182724
80222594 35.61832 34.85409 33.86461  147.76  -21.28   68.08   35.24   36.12 9.6803e+09 9.9676e+09 55.53380 10.25570 0.54850 2.8705e+06 1.705e+07    47814       -1       -1
80212062 33.94482 35.32126 35.30940  108.25  -88.22  174.22   36.69   36.69 9.1423e+09 9.1423e+09 54.48592 8.82980 1.00000 2.5723e+06 1.5736e+07    47717       -1       -1
