# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
64789666 35.43685 35.25133 34.83701   10.34 -176.31  224.08  194.56  195.45 2.1732e+12 2.7535e+12 337.49718 71.43225 0.78750 4.7809e+10 4.7809e+10  7110954       -1       -1
64785761 34.98569 35.17120 35.58552   46.20 -118.08   98.56  193.69  193.69 2.1408e+12 2.1408e+12 335.86901 89.26261 1.00000 4.7394e+10 4.7394e+10  7551118       -1       -1
64488342 34.80049 35.51104 36.33300   15.58  -60.23   58.11   17.96   20.10 2.6479e+08 5.093e+08 16.73239 0.88758 0.28950  2867.6 1.0661e+05     1862       -1       -1
64488346 34.78228 35.59329 36.41142    9.59 -104.13   39.73   11.25   12.22 7.6211e+07 1.5606e+08 11.04789 0.98933 0.45880  262.44   18369      651 64488461 64488461
64488350 34.95721 35.62085 36.17631  -10.01 -128.64   55.65   12.26   15.28 1.0401e+08 3.1014e+08 12.25493 1.37494 0.33930  476.84   28497      755       -1       -1
64488364 34.94758 35.70342 36.21310    5.30 -136.04   23.76    8.61    8.02 3.4803e+07 6.1465e+07 8.50704 0.48317 0.39240  58.272  6073.4      261 64488451 64488451
64488373 34.70456 35.55396 36.49725   -9.39  -82.47   39.91   15.42   17.94 1.9704e+08 4.3718e+08 15.16338 1.46831 0.47210    1626   70239     1156       -1       -1
64488374 34.71983 35.54544 36.60121  -18.06  -96.00   64.55   16.20   18.24 2.7592e+08 5.2732e+08 16.96338 1.63098 0.44560  3103.5 1.1299e+05     2596       -1       -1
64488382 34.73163 35.46546 36.50027   46.88  -69.09   72.32   17.45   18.67 4.1225e+08 7.0746e+08 19.39437 1.80134 0.53520  6709.2 1.9918e+05     2323       -1       -1
64488386 34.78987 35.49173 36.49368   11.55  -40.87   71.87   10.64   14.29 6.6197e+07 3.162e+08 10.54085 1.42379 0.35260  200.25   15055      383       -1       -1
64488406 34.61473 35.60456 36.54954  -15.95 -112.34  114.59   14.91   15.22 3.7366e+08 4.2113e+08 18.76901 1.94413 0.61490  5555.4 1.7337e+05     2581       -1       -1
64488410 34.63766 35.61657 36.57183  -10.33 -127.73  114.84   14.11   15.00 4.5915e+08 9.6423e+08 20.10282 3.04041 0.61490  8251.2 2.3191e+05     4789 64488726 64488726
64488433 34.76972 35.51830 36.42820   48.08  -89.18   83.09   12.25   12.28 1.3976e+08 2.1775e+08 13.52254 1.30125 0.48540  840.81   43246      873 64488461 64488461
64488435 34.90372 35.76812 36.22263   42.15 -103.76   71.06    8.97    8.75 4.8225e+07 7.0352e+07 9.48451 0.66719 0.43230  109.01  9626.2      275       -1       -1
64488436 34.91728 35.71771 36.26682   25.95 -130.04   47.53   21.55   26.55 8.3972e+08 2.0169e+09 24.58310 3.40011 0.35260   26296 5.4382e+05     5292       -1       -1
