# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
16663636 35.59404 35.13049 35.06950 -156.94    4.94  171.27  168.58  168.58 1.3355e+12 1.3355e+12 286.95493 85.22961 1.00000 3.4433e+10 3.4433e+10  4628845       -1       -1
16578856 34.82849 35.29204 35.35304  -58.56  -18.81  123.31  157.05  155.38 1.0276e+12 1.0396e+12 262.94648 41.86708 0.90700 2.7498e+10 2.7498e+10  3405998       -1       -1
16696816 35.86999 35.48046 34.96008 -305.37   47.15  187.71   63.79   64.99 5.3789e+10 5.462e+10 98.36479 13.86744 0.98670 7.5795e+07 1.8122e+08   277179       -1       -1
16658586 34.98044 35.21552 35.18091  -35.05 -146.55  163.09   53.51   53.27 3.1887e+10 4.0704e+10 82.63099 12.78550 0.66800 4.4545e+07 1.2409e+08   191267 16578856 16578856
16662354 35.51345 35.36127 34.63646 -141.32   77.97  248.43   54.56   54.56 3.0944e+10 3.0944e+10 81.80704 12.56108 1.00000 2.6474e+07 8.5525e+07   147307       -1       -1
16697089 35.87199 35.57368 34.90154 -228.65  -79.33  132.02   49.13   49.44 2.2732e+10 2.3746e+10 73.81690 10.48190 0.60160 1.4714e+07 5.6013e+07   149355       -1       -1
16578834 34.74928 35.27044 35.29039  100.62   11.89  156.64   52.79   57.69 1.4099e+10 3.069e+10 62.94789 5.36697 0.73440 2.6063e+07 8.4571e+07   104530 16578856 16578856
16663040 35.59372 35.22766 34.81401 -183.89  124.55  118.88   41.65   47.86 1.4028e+10 2.0704e+10 62.84366 8.01116 0.70780 1.2309e+07 4.9226e+07   100539 16663636 16663636
16661255 35.68238 35.03162 35.01375 -357.69  103.03  102.76   47.52   51.62 1.3935e+10 1.5859e+10 62.70423 7.95954 0.58830 7.3925e+06 3.3997e+07    90494 16663636 16663636
16659133 34.88993 35.25779 35.35820  -13.73   29.59  347.90   51.67   54.35 1.2261e+10 2.1296e+10 60.08592 7.70580 0.49870 1.2989e+07 5.1183e+07   100536 16578856 16578856
