# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
26101986 35.21144 34.93702 35.32682  -53.30  195.95  159.45  203.32  203.32 2.6732e+12 2.6732e+12 361.63239 121.10454 1.00000 5.3541e+10 5.3541e+10  8888521       -1       -1
26111625 35.21109 35.48551 35.09572  100.48  -20.22  162.93  159.47  159.47 1.3021e+12 1.3021e+12 284.54085 100.36572 1.00000 3.375e+10 3.375e+10  3830966       -1       -1
26096109 35.00384 34.84713 34.93261 -101.93  154.50  114.28    8.78    8.99 4.5197e+07 9.4746e+07 9.28169 0.93996 0.60160  398.62   24979      504       -1       -1
26096126 34.80201 34.87325 35.17227  -44.12  119.67  101.05    9.59    8.91 7.5465e+07 1.3258e+08 11.01127 1.07806 0.56180   759.8   40141      872       -1       -1
26096167 35.06122 34.79394 35.27672 -246.90  116.96  148.35    8.42    9.55 3.4042e+07 5.2761e+07 8.44507 0.60762 0.47210  129.54   10929      267 26101986 26101986
26096171 35.14432 34.88305 35.28944   40.46   77.42   55.76   13.42   21.74 5.769e+07 7.3634e+08 10.06761 0.77221 0.25000   20434 4.5176e+05      479 26101986 26101986
26096175 35.22384 34.90215 35.25745  -65.89  -24.25   89.07    9.25    9.93 1.6831e+07 4.8423e+07 6.67746 0.52275 0.36590  109.86  9681.8      114 26101985 26101986
26096178 35.20027 34.83863 35.29220  -26.17   99.11   50.94   10.56   10.29 2.2507e+07 3.593e+07 7.35634 0.47421 0.66800  61.948  6352.8      157 26101986 26101986
26096185 34.93423 34.87794 35.12324  -92.17  113.16   92.36    9.56    9.65 6.7141e+07 1.1669e+08 10.59014 1.04084 0.54850  594.65   33521      915 26101986 26101986
26096201 35.19042 34.95305 35.30244 -294.60    7.84   -9.43    8.69    8.75 1.4183e+07 3.8775e+07 6.30704 0.45247 0.36590  71.708  7074.5      127 26101985 26101986
26096237 34.96580 35.10422 34.95489  -64.23  172.13   35.64    8.05    8.49 2.4592e+07 4.5577e+07 7.57746 0.82750 0.39240  97.804  8888.4     1296       -1       -1
26096241 35.00078 35.06363 35.02046  -33.15  143.83   76.98   10.05   12.92 5.1817e+07 1.8338e+08 9.71408 0.91800 0.26290  1416.4   63462      315       -1       -1
